dataset,row,beg,end
train,4920,0,5536
train,4928,0,5544
train,4936,0,5544
train,4944,0,5552
train,4952,0,5552
train,4960,0,5560
train,4968,0,5560
train,4976,0,5560
train,4984,0,5568
train,4992,0,5568
train,5000,0,5576
train,5008,0,5576
train,5016,0,5584
train,5024,0,5584
train,5032,0,5592
train,5040,0,5592
train,5048,0,5600
train,5056,0,5600
train,5064,0,5608
train,5072,0,5608
train,5080,0,5616
train,5088,0,5616
train,5096,0,5624
train,5104,0,5624
train,5112,0,5632
train,5120,0,5632
train,5128,0,5640
train,5136,0,5640
train,5144,0,5640
train,5152,0,5648
train,5160,0,5648
train,5168,0,5656
train,5176,0,5656
train,5184,0,5664
train,5192,0,5664
train,5200,0,5672
train,5208,0,5672
train,5216,0,5680
train,5224,0,5680
train,5232,0,5688
train,5240,0,5688
train,5248,0,5696
train,5256,0,5696
train,5264,0,5704
train,5272,0,5704
train,5280,0,5712
train,5288,0,5712
train,5296,0,5720
train,5304,0,5720
train,5312,0,5720
train,5320,0,5728
train,5328,0,5728
train,5336,0,5736
train,5344,0,5736
train,5352,0,5744
train,5360,0,5744
train,5368,0,5752
train,5376,0,5752
train,5384,0,5760
train,5392,0,5760
train,5400,0,5768
train,5408,0,5768
train,5416,0,5776
train,5424,0,5776
train,5432,0,5784
train,5440,0,5784
train,5448,0,5792
train,5456,0,5792
train,5464,0,5800
train,5472,0,5800
train,5480,0,5800
train,5488,0,5808
train,5496,0,5808
train,5504,0,5816
train,5512,0,5816
train,5520,0,5824
train,5528,0,5824
train,5536,0,5832
train,5544,0,5832
train,5552,0,5840
train,5560,0,5840
train,5568,0,5848
train,5576,0,5848
train,5584,0,5856
train,5592,0,5856
train,5600,0,5864
train,5608,0,5864
train,5616,0,5872
train,5624,0,5872
train,6656,0,6368
train,6664,0,6368
train,6672,0,6368
train,6680,0,6376
train,6688,0,6376
train,6696,0,6384
train,6704,0,6384
train,6712,0,6392
train,6720,0,6392
train,6728,0,6400
train,6736,0,6400
train,6744,0,6408
train,6752,0,6408
train,6760,0,6416
train,6768,0,6416
train,6776,0,6424
train,6784,0,6424
train,6792,0,6432
train,6800,0,6432
train,6808,0,6440
train,6816,0,6440
train,6824,0,6448
train,6832,0,6448
train,6840,0,6456
train,6848,0,6456
train,6856,0,6456
train,6864,0,6464
train,6872,0,6464
train,6880,0,6472
train,6888,0,6472
train,6896,0,6480
train,6904,0,6480
train,6912,0,6488
train,6920,0,6488
train,6928,0,6496
train,6936,0,6496
train,6944,0,6504
train,6952,0,6504
train,6960,0,6512
train,6968,0,6512
train,6976,0,6520
train,6984,0,6520
train,6992,0,6528
train,7000,0,6528
train,7008,0,6536
train,7016,0,6536
train,7024,0,6536
train,7032,0,6544
train,7040,0,6544
train,7048,0,6552
train,7056,0,6552
train,7064,0,6560
train,7072,0,6560
train,7080,0,6568
train,7088,0,6568
train,7096,0,6576
train,7104,0,6576
train,7112,0,6584
train,7120,0,6584
train,7128,0,6592
train,7136,0,6592
train,7144,0,6600
train,7152,0,6600
train,7160,0,6608
train,7168,0,6608
train,7176,0,6616
train,7184,0,6616
train,7192,0,6616
train,7200,0,6624
train,7208,0,6624
train,7216,0,6632
train,7224,0,6632
train,7232,0,6640
train,7240,0,6640
train,7248,0,6648
train,7256,0,6648
train,7264,0,6656
train,7272,0,6656
train,7280,0,6664
train,7288,0,6664
train,7296,0,6672
train,7304,0,6672
train,7312,0,6680
train,7320,0,6680
train,7328,0,6688
train,7336,0,6688
train,7344,0,6696
train,7352,0,6696
train,7360,0,6696
train,7368,0,6704
train,7376,0,6704
train,7384,0,6712
train,7392,0,6712
train,7400,0,6720
train,7408,0,6720
train,7416,0,6728
train,7424,0,6728
train,7432,0,6736
train,7440,0,6736
train,7448,0,6744
train,7456,0,6744
train,7464,0,6752
train,7472,0,6752
train,7480,0,6760
train,7488,0,6760
train,7496,0,6768
train,7504,0,6768
train,7512,0,6776
train,7520,0,6776
train,7528,0,6776
train,7536,0,6784
train,7544,0,6784
train,7552,0,6792
train,7560,0,6792
train,7568,0,6800
train,7576,0,6800
train,7584,0,6808
train,7592,0,6808
train,7600,0,6816
train,7608,0,6816
train,7616,0,6824
train,7624,0,6824
train,7632,0,6832
train,7640,0,6832
train,7648,0,6840
train,7656,0,6840
train,7664,0,6848
train,7672,0,6848
train,8192,0,7096
train,8200,0,7104
train,8208,0,7104
train,8216,0,7104
train,8224,0,7112
train,8232,0,7112
train,8240,0,7120
train,8248,0,7120
train,8256,0,7128
train,8264,0,7128
train,8272,0,7136
train,8280,0,7136
train,8288,0,7144
train,8296,0,7144
train,8304,0,7152
train,8312,0,7152
train,8320,0,7160
train,8328,0,7160
train,8336,0,7168
train,8344,0,7168
train,8352,0,7176
train,8360,0,7176
train,8368,0,7184
train,8376,0,7184
train,8384,0,7184
train,8392,0,7192
train,8400,0,7192
train,8408,0,7200
train,8416,0,7200
train,8424,0,7208
train,8432,0,7208
train,8440,0,7216
train,8448,0,7216
train,8456,0,7224
train,8464,0,7224
train,8472,0,7232
train,8480,0,7232
train,8488,0,7240
train,8496,0,7240
train,8504,0,7248
train,8512,0,7248
train,8520,0,7256
train,8528,0,7256
train,8536,0,7264
train,8544,0,7264
train,8552,0,7264
train,8560,0,7272
train,8568,0,7272
train,8576,0,7280
train,8584,0,7280
train,8592,0,7288
train,8600,0,7288
train,8608,0,7296
train,8616,0,7296
train,8624,0,7304
train,8632,0,7304
train,8640,0,7312
train,8648,0,7312
train,8656,0,7320
train,8664,0,7320
train,8672,0,7328
train,8680,0,7328
train,8688,0,7336
train,8696,0,7336
train,8704,0,7344
train,8712,0,7344
train,8720,0,7344
train,8728,0,7352
train,8736,0,7352
train,8744,0,7360
train,8752,0,7360
train,8760,0,7368
train,8768,0,7368
train,8776,0,7376
train,8784,0,7376
train,8792,0,7384
train,8800,0,7384
train,8808,0,7392
train,8816,0,7392
train,8824,0,7400
train,8832,0,7400
train,8840,0,7408
train,8848,0,7408
train,8856,0,7416
train,8864,0,7416
train,8872,0,7424
train,8880,0,7424
train,8888,0,7424
train,8896,0,7432
train,8904,0,7432
train,8912,0,7440
train,8920,0,7440
train,8928,0,7448
train,8936,0,7448
train,8944,0,7456
train,8952,0,7456
train,8960,0,7464
train,8968,0,7464
train,8976,0,7472
train,8984,0,7472
train,8992,0,7480
train,9000,0,7480
train,9008,0,7488
train,9016,0,7488
train,9024,0,7496
train,9032,0,7496
train,9040,0,7504
train,9048,0,7504
train,9056,0,7512
train,9064,0,7512
train,9072,0,7512
train,9080,0,7520
train,9088,0,7520
train,9096,0,7528
train,9104,0,7528
train,9112,0,7536
train,9120,0,7536
train,9128,0,7544
train,9136,0,7544
train,9144,0,7552
train,9152,0,7552
train,9160,0,7560
train,9168,0,7560
train,9176,0,7568
train,9184,0,7568
train,9192,0,7576
train,9200,0,7576
train,9208,0,7584
train,9728,88,7832
train,9736,96,7832
train,9744,96,7832
train,9752,104,7840
train,9760,104,7840
train,9768,104,7848
train,9776,112,7848
train,9784,112,7856
train,9792,120,7856
train,9800,120,7864
train,9808,128,7864
train,9816,128,7872
train,9824,128,7872
train,9832,136,7880
train,9840,136,7880
train,9848,144,7888
train,9856,144,7888
train,9864,152,7896
train,9872,152,7896
train,9880,152,7904
train,9888,160,7904
train,9896,160,7912
train,9904,168,7912
train,9912,168,7912
train,9920,176,7920
train,9928,176,7920
train,9936,176,7928
train,9944,184,7928
train,9952,184,7936
train,9960,192,7936
train,9968,192,7944
train,9976,200,7944
train,9984,200,7952
train,9992,200,7952
train,10000,208,7960
train,10008,208,7960
train,10016,216,7968
train,10024,216,7968
train,10032,224,7976
train,10040,224,7976
train,10048,224,7984
train,10056,232,7984
train,10064,232,7992
train,10072,240,7992
train,10080,240,8000
train,10088,248,8000
train,10096,248,8000
train,10104,248,8008
train,10112,256,8008
train,10120,256,8016
train,10128,264,8016
train,10136,264,8024
train,10144,272,8024
train,10152,272,8032
train,10160,272,8032
train,10168,280,8040
train,10176,280,8040
train,10184,288,8048
train,10192,288,8048
train,10200,296,8056
train,10208,296,8056
train,10216,296,8064
train,10224,304,8064
train,10232,304,8072
train,10752,528,8320
train,10760,536,8320
train,10768,536,8320
train,10776,536,8328
train,10784,544,8328
train,10792,544,8336
train,10800,552,8336
train,10808,552,8344
train,10816,560,8344
train,10824,560,8352
train,10832,560,8352
train,10840,568,8360
train,10848,568,8360
train,10856,576,8368
train,10864,576,8368
train,10872,584,8376
train,10880,584,8376
train,10888,584,8384
train,10896,592,8384
train,10904,592,8392
train,10912,600,8392
train,10920,600,8400
train,10928,608,8400
train,10936,608,8400
train,10944,608,8408
train,10952,616,8408
train,10960,616,8416
train,10968,624,8416
train,10976,624,8424
train,10984,632,8424
train,10992,632,8432
train,11000,632,8432
train,11008,640,8440
train,11016,640,8440
train,11024,648,8448
train,11032,648,8448
train,11040,656,8456
train,11048,656,8456
train,11056,656,8464
train,11064,664,8464
train,11072,664,8472
train,11080,672,8472
train,11088,672,8480
train,11096,680,8480
train,11104,680,8480
train,11112,680,8488
train,11120,688,8488
train,11128,688,8496
train,11136,696,8496
train,11144,696,8504
train,11152,704,8504
train,11160,704,8512
train,11168,704,8512
train,11176,712,8520
train,11184,712,8520
train,11192,720,8528
train,11200,720,8528
train,11208,728,8536
train,11216,728,8536
train,11224,728,8544
train,11232,736,8544
train,11240,736,8552
train,11248,744,8552
train,11256,744,8560
train,11264,752,8560
train,11272,752,8568
train,11280,752,8568
train,11288,760,8568
train,11296,760,8576
train,11304,768,8576
train,11312,768,8584
train,11320,776,8584
train,11328,776,8592
train,11336,776,8592
train,11344,784,8600
train,11352,784,8600
train,11360,792,8608
train,11368,792,8608
train,11376,800,8616
train,11384,800,8616
train,11392,800,8624
train,11400,808,8624
train,11408,808,8632
train,11416,816,8632
train,11424,816,8640
train,11432,824,8640
train,11440,824,8648
train,11448,824,8648
train,11456,832,8648
train,11464,832,8656
train,11472,840,8656
train,11480,840,8664
train,11488,848,8664
train,11496,848,8672
train,11504,848,8672
train,11512,856,8680
train,11520,856,8680
train,11528,864,8688
train,11536,864,8688
train,11544,872,8696
train,11552,872,8696
train,11560,872,8704
train,11568,880,8704
train,11576,880,8712
train,11584,888,8712
train,11592,888,8720
train,11600,896,8720
train,11608,896,8728
train,11616,896,8728
train,11624,904,8728
train,11632,904,8736
train,11640,912,8736
train,11648,912,8744
train,11656,920,8744
train,11664,920,8752
train,11672,920,8752
train,11680,928,8760
train,11688,928,8760
train,11696,936,8768
train,11704,936,8768
train,11712,944,8776
train,11720,944,8776
train,11728,944,8784
train,11736,952,8784
train,11744,952,8792
train,11752,960,8792
train,11760,960,8800
train,11768,968,8800
train,11776,968,8808
train,11784,968,8808
train,11792,976,8808
train,11800,976,8816
train,11808,984,8816
train,11816,984,8824
train,11824,992,8824
train,11832,992,8832
train,11840,992,8832
train,11848,1000,8840
train,11856,1000,8840
train,11864,1008,8848
train,11872,1008,8848
train,11880,1016,8856
train,11888,1016,8856
train,11896,1016,8864
train,11904,1024,8864
train,11912,1024,8872
train,11920,1032,8872
train,11928,1032,8880
train,11936,1040,8880
train,11944,1040,8888
train,11952,1040,8888
train,11960,1048,8888
train,11968,1048,8896
train,11976,1056,8896
train,11984,1056,8904
train,11992,1064,8904
train,12000,1064,8912
train,12008,1064,8912
train,12016,1072,8920
train,12024,1072,8920
train,12032,1080,8928
train,12040,1080,8928
train,12048,1088,8936
train,12056,1088,8936
train,12064,1088,8944
train,12072,1096,8944
train,12080,1096,8952
train,12088,1104,8952
train,12096,1104,8960
train,12104,1112,8960
train,12112,1112,8968
train,12120,1112,8968
train,12128,1120,8968
train,12136,1120,8976
train,12144,1128,8976
train,12152,1128,8984
train,12160,1136,8984
train,12168,1136,8992
train,12176,1136,8992
train,12184,1144,9000
train,12192,1144,9000
train,12200,1152,9008
train,12208,1152,9008
train,12216,1160,9016
train,12224,1160,9016
train,12232,1160,9024
train,12240,1168,9024
train,12248,1168,9032
train,12256,1176,9032
train,12264,1176,9040
train,12272,1184,9040
train,12280,1184,9048
train,13312,1624,9536
train,13320,1632,9536
train,13328,1632,9544
train,13336,1640,9544
train,13344,1640,9552
train,13352,1640,9552
train,13360,1648,9560
train,13368,1648,9560
train,13376,1656,9568
train,13384,1656,9568
train,13392,1664,9576
train,13400,1664,9576
train,13408,1664,9584
train,13416,1672,9584
train,13424,1672,9592
train,13432,1680,9592
train,13440,1680,9600
train,13448,1688,9600
train,13456,1688,9608
train,13464,1688,9608
train,13472,1696,9616
train,13480,1696,9616
train,13488,1704,9624
train,13496,1704,9624
train,13504,1712,9624
train,13512,1712,9632
train,13520,1712,9632
train,13528,1720,9640
train,13536,1720,9640
train,13544,1728,9648
train,13552,1728,9648
train,13560,1736,9656
train,13568,1736,9656
train,13576,1736,9664
train,13584,1744,9664
train,13592,1744,9672
train,13600,1752,9672
train,13608,1752,9680
train,13616,1760,9680
train,13624,1760,9688
train,13632,1760,9688
train,13640,1768,9696
train,13648,1768,9696
train,13656,1776,9704
train,13664,1776,9704
train,13672,1784,9704
train,13680,1784,9712
train,13688,1784,9712
train,13696,1792,9720
train,13704,1792,9720
train,13712,1800,9728
train,13720,1800,9728
train,13728,1808,9736
train,13736,1808,9736
train,13744,1808,9744
train,13752,1816,9744
train,13760,1816,9752
train,13768,1824,9752
train,13776,1824,9760
train,13784,1832,9760
train,13792,1832,9768
train,13800,1832,9768
train,13808,1840,9776
train,13816,1840,9776
train,14336,2064,10024
train,14344,2072,10024
train,14352,2072,10032
train,14360,2072,10032
train,14368,2080,10040
train,14376,2080,10040
train,14384,2088,10048
train,14392,2088,10048
train,14400,2096,10056
train,14408,2096,10056
train,14416,2096,10064
train,14424,2104,10064
train,14432,2104,10072
train,14440,2112,10072
train,14448,2112,10080
train,14456,2120,10080
train,14464,2120,10088
train,14472,2120,10088
train,14480,2128,10096
train,14488,2128,10096
train,14496,2136,10104
train,14504,2136,10104
train,14512,2144,10112
train,14520,2144,10112
train,14528,2144,10112
train,14536,2152,10120
train,14544,2152,10120
train,14552,2160,10128
train,14560,2160,10128
train,14568,2168,10136
train,14576,2168,10136
train,14584,2168,10144
train,14592,2176,10144
train,14600,2176,10152
train,14608,2184,10152
train,14616,2184,10160
train,14624,2192,10160
train,14632,2192,10168
train,14640,2192,10168
train,14648,2200,10176
train,14656,2200,10176
train,14664,2208,10184
train,14672,2208,10184
train,14680,2216,10192
train,14688,2216,10192
train,14696,2216,10192
train,14704,2224,10200
train,14712,2224,10200
train,14720,2232,10208
train,14728,2232,10208
train,14736,2240,10216
train,14744,2240,10216
train,14752,2240,10224
train,14760,2248,10224
train,14768,2248,10232
train,14776,2256,10232
train,14784,2256,10240
train,14792,2264,10240
train,14800,2264,10248
train,14808,2264,10248
train,14816,2272,10256
train,14824,2272,10256
train,14832,2280,10264
train,14840,2280,10264
train,15360,2504,10512
train,15368,2504,10512
train,15376,2512,10520
train,15384,2512,10520
train,15392,2520,10528
train,15400,2520,10528
train,15408,2528,10536
train,15416,2528,10536
train,15424,2528,10544
train,15432,2536,10544
train,15440,2536,10552
train,15448,2544,10552
train,15456,2544,10560
train,15464,2552,10560
train,15472,2552,10568
train,15480,2552,10568
train,15488,2560,10576
train,15496,2560,10576
train,15504,2568,10584
train,15512,2568,10584
train,15520,2576,10592
train,15528,2576,10592
train,15536,2576,10592
train,15544,2584,10600
train,15552,2584,10600
train,15560,2592,10608
train,15568,2592,10608
train,15576,2600,10616
train,15584,2600,10616
train,15592,2600,10624
train,15600,2608,10624
train,15608,2608,10632
train,15616,2616,10632
train,15624,2616,10640
train,15632,2624,10640
train,15640,2624,10648
train,15648,2624,10648
train,15656,2632,10656
train,15664,2632,10656
train,15672,2640,10664
train,15680,2640,10664
train,15688,2648,10672
train,15696,2648,10672
train,15704,2648,10680
train,15712,2656,10680
train,15720,2656,10680
train,15728,2664,10688
train,15736,2664,10688
train,15744,2672,10696
train,15752,2672,10696
train,15760,2672,10704
train,15768,2680,10704
train,15776,2680,10712
train,15784,2688,10712
train,15792,2688,10720
train,15800,2696,10720
train,15808,2696,10728
train,15816,2696,10728
train,15824,2704,10736
train,15832,2704,10736
train,15840,2712,10744
train,15848,2712,10744
train,15856,2720,10752
train,15864,2720,10752
train,15872,2720,10760
train,15880,2728,10760
train,15888,2728,10760
train,15896,2736,10768
train,15904,2736,10768
train,15912,2744,10776
train,15920,2744,10776
train,15928,2744,10784
train,15936,2752,10784
train,15944,2752,10792
train,15952,2760,10792
train,15960,2760,10800
train,15968,2768,10800
train,15976,2768,10808
train,15984,2768,10808
train,15992,2776,10816
train,16000,2776,10816
train,16008,2784,10824
train,16016,2784,10824
train,16024,2792,10832
train,16032,2792,10832
train,16040,2792,10840
train,16048,2800,10840
train,16056,2800,10840
train,16064,2808,10848
train,16072,2808,10848
train,16080,2816,10856
train,16088,2816,10856
train,16096,2816,10864
train,16104,2824,10864
train,16112,2824,10872
train,16120,2832,10872
train,16128,2832,10880
train,16136,2840,10880
train,16144,2840,10888
train,16152,2840,10888
train,16160,2848,10896
train,16168,2848,10896
train,16176,2856,10904
train,16184,2856,10904
train,16192,2864,10912
train,16200,2864,10912
train,16208,2864,10920
train,16216,2872,10920
train,16224,2872,10920
train,16232,2880,10928
train,16240,2880,10928
train,16248,2888,10936
train,16256,2888,10936
train,16264,2888,10944
train,16272,2896,10944
train,16280,2896,10952
train,16288,2904,10952
train,16296,2904,10960
train,16304,2912,10960
train,16312,2912,10968
train,16320,2912,10968
train,16328,2920,10976
train,16336,2920,10976
train,16344,2928,10984
train,16352,2928,10984
train,16360,2936,10992
train,16368,2936,10992
train,16376,2936,11000
train,16384,2944,11000
train,16392,2944,11000
train,16400,2952,11008
train,16408,2952,11008
train,16416,2960,11016
train,16424,2960,11016
train,16432,2960,11024
train,16440,2968,11024
train,16448,2968,11032
train,16456,2976,11032
train,16464,2976,11040
train,16472,2984,11040
train,16480,2984,11048
train,16488,2984,11048
train,16496,2992,11056
train,16504,2992,11056
train,16512,3000,11064
train,16520,3000,11064
train,16528,3008,11072
train,16536,3008,11072
train,16544,3008,11080
train,16552,3016,11080
train,16560,3016,11080
train,16568,3024,11088
train,16576,3024,11088
train,16584,3032,11096
train,16592,3032,11096
train,16600,3032,11104
train,16608,3040,11104
train,16616,3040,11112
train,16624,3048,11112
train,16632,3048,11120
train,16640,3056,11120
train,16648,3056,11128
train,16656,3056,11128
train,16664,3064,11136
train,16672,3064,11136
train,16680,3072,11144
train,16688,3072,11144
train,16696,3080,11152
train,16704,3080,11152
train,16712,3080,11160
train,16720,3088,11160
train,16728,3088,11168
train,16736,3096,11168
train,16744,3096,11168
train,16752,3104,11176
train,16760,3104,11176
train,16768,3104,11184
train,16776,3112,11184
train,16784,3112,11192
train,16792,3120,11192
train,16800,3120,11200
train,16808,3128,11200
train,16816,3128,11208
train,16824,3128,11208
train,16832,3136,11216
train,16840,3136,11216
train,16848,3144,11224
train,16856,3144,11224
train,16864,3152,11232
train,16872,3152,11232
train,16880,3152,11240
train,16888,3160,11240
train,18432,3824,11920
train,18440,3824,11928
train,18448,3824,11928
train,18456,3832,11928
train,18464,3832,11936
train,18472,3840,11936
train,18480,3840,11944
train,18488,3848,11944
train,18496,3848,11944
train,18504,3848,11952
train,18512,3856,11952
train,18520,3856,11960
train,18528,3864,11960
train,18536,3864,11960
train,18544,3872,11968
train,18552,3872,11968
train,18560,3872,11976
train,18568,3880,11976
train,18576,3880,11976
train,18584,3888,11984
train,18592,3888,11984
train,18600,3896,11984
train,18608,3896,11992
train,18616,3896,11992
train,18624,3904,11992
train,18632,3904,12000
train,18640,3912,12000
train,18648,3912,12000
train,18656,3920,12008
train,18664,3920,12008
train,18672,3920,12016
train,18680,3928,12016
train,18688,3928,12016
train,18696,3936,12024
train,18704,3936,12024
train,18712,3944,12024
train,18720,3944,12032
train,18728,3944,12032
train,18736,3952,12032
train,18744,3952,12040
train,18752,3960,12040
train,18760,3960,12040
train,18768,3968,12048
train,18776,3968,12048
train,18784,3968,12056
train,18792,3976,12056
train,18800,3976,12056
train,18808,3984,12064
train,18816,3984,12064
train,18824,3992,12064
train,18832,3992,12072
train,18840,3992,12072
train,18848,4000,12072
train,18856,4000,12080
train,18864,4008,12080
train,18872,4008,12080
train,18880,4016,12088
train,18888,4016,12088
train,18896,4016,12096
train,18904,4024,12096
train,18912,4024,12096
train,18920,4032,12104
train,18928,4032,12104
train,18936,4040,12104
train,18944,4040,12112
train,18952,4040,12112
train,18960,4048,12112
train,18968,4048,12120
train,18976,4056,12120
train,18984,4056,12120
train,18992,4064,12128
train,19000,4064,12128
train,19008,4064,12128
